elapsed_hour,temperature_in_C_mean,temperature_in_C_median,temperature_in_C_sem,temperature_in_C_ci_lower,temperature_in_C_ci_upper,temperature_out_C_mean,temperature_out_C_median,temperature_out_C_sem,temperature_out_C_ci_lower,temperature_out_C_ci_upper,temperature_diff_C_mean,temperature_diff_C_median,temperature_diff_C_sem,temperature_diff_C_ci_lower,temperature_diff_C_ci_upper,humidity_perc_RH_mean,humidity_perc_RH_median,humidity_perc_RH_sem,humidity_perc_RH_ci_lower,humidity_perc_RH_ci_upper
143,7.932500000000001,8.072,0.14321109128369444,7.64675,8.0805,7.75,7.75,0.3227486121839514,7.25,8.25,0.1825,0.2905,0.23347251801157812,-0.19974999999999998,0.543,102.88775000000001,102.488,1.4295888322054933,100.7575,105.35000000000001
144,7.682,7.824,0.2544064988687724,7.268,8.072,7.625,7.75,0.23935677693908453,7.25,8.0,0.057,0.07200000000000001,0.018645821694595995,0.021,0.08,102.8875,102.7215,1.3531184045258833,100.7575,105.01750000000001
145,7.431500000000001,7.571,0.14321109128369452,7.14575,7.5794999999999995,7.375,7.25,0.23935677693908453,7.0,7.75,0.056499999999999995,0.0335,0.20597592901437134,-0.301,0.43699999999999994,103.00450000000001,102.488,1.532141991896747,100.7575,105.70025
146,7.431500000000001,7.571,0.14321109128369452,7.14575,7.5795312500000005,7.25,7.25,0.14433756729740643,7.0,7.5,0.1815,0.07100000000000001,0.13450929335923223,0.02075,0.45275,103.261,103.703,1.2782395445820538,101.17399999999999,105.24700000000001
147,7.431500000000001,7.571,0.14321109128369452,7.14575,7.5794999999999995,6.875,6.75,0.23935677693908453,6.5,7.25,0.5565,0.5335,0.20597592901437134,0.19899999999999995,0.937,102.66125000000001,101.784,1.3574748846663771,100.84975,105.4645
148,7.55675,7.571,0.01826825570947225,7.5185,7.5794999999999995,7.25,7.25,0.14433756729740643,7.0,7.5,0.30674999999999997,0.29,0.13708414386791784,0.07100000000000001,0.5425,103.013,102.7215,1.2656008454485168,101.0085,105.0175
149,8.057749999999999,8.043,0.20800295470657776,7.6945,8.43625,7.625,7.75,0.23935677693908453,7.25,8.0,0.43274999999999997,0.5725,0.14330409100929392,0.14725,0.5815,102.17575,101.784,1.2932251270241648,99.9815,104.64725
150,8.559000000000001,8.574000000000002,0.3030937698688863,8.034500000000001,9.0835,8.0,8.0,0.2041241452319315,7.625,8.375,0.5589999999999999,0.574,0.22105617687215467,0.14775,0.9552499999999999,102.289,101.5245,1.352608282787989,100.46714375,104.86925
151,8.684000000000001,8.824000000000002,0.257696526945941,8.27275,9.0835,8.375,8.5,0.3145764348029479,7.75,8.875,0.30900000000000005,0.2925,0.13674489630939307,0.07400000000000001,0.544,103.155,102.7715,1.2774935746739897,101.08475,105.60875
152,8.80925,8.824000000000002,0.15884446008595976,8.535,9.0835,8.375,8.5,0.125,8.125,8.5,0.4342499999999999,0.574,0.14347727752737247,0.1485,0.5834999999999999,102.55425,101.57,1.3937573542406863,100.61325000000001,105.228
153,9.31,9.295000000000002,0.13608453255238082,9.076,9.544,8.875,8.75,0.23935677693908453,8.5,9.25,0.435,0.575,0.14338991131410417,0.1495,0.584,102.77999999999999,101.80699999999999,1.6508110632857644,100.48825,106.04475
154,9.9365,10.0455,0.12427288521636586,9.697249999999999,10.086,9.625,9.5,0.375,9.0,10.375,0.3115,0.32649999999999996,0.33755555098383433,-0.2285,0.8365,102.00675,100.97749999999999,1.693000018458357,99.4605,104.82900000000001
155,10.813,10.7965,0.3222873976230944,10.303500000000001,11.341631249999999,10.75,10.75,0.3227486121839514,10.25,11.25,0.06300000000000003,-0.1725,0.364169145681875,-0.4535,0.8347500000000001,100.5505,98.95,2.2150233444969962,97.65324999999999,105.04825
