Hour,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
12,12.857142857142858,12.0,0.7990465506815372,11.3,14.343214285714286,11.5,14.5,15.793999999999999,15.596,0.944376517456194,14.062314285714287,17.581975714285715,13.593,18.098,-2.936857142857143,-2.6000000000000014,0.3872686647890467,-3.681228571428572,-2.2333121428571436,-4.096,-1.5810000000000004,68.72088571428571,62.942,3.5821289941469554,61.91915214285714,75.45764642857142,53.4,68.709,15
13,14.728571428571428,15.0,0.8933326464911683,13.056785714285715,16.47142857142857,12.987500000000011,17.0,16.5378,17.097,0.9202996368099929,14.720505000000003,18.154308571428572,15.095,18.098,-1.8092285714285712,-2.093,0.22976498802883258,-2.253172142857143,-1.3508007142857146,-2.1000000000000014,-1.097999999999999,67.15154285714286,63.526,3.40541266403074,60.396531428571436,73.70136642857145,52.791,70.972,15
14,16.75,16.5,0.9762049940848442,14.803472222222224,18.528125,14.493750000000006,18.5,16.859277777777777,16.597,0.8744849718830979,15.078772222222222,18.51350555555556,14.8445,19.099,-0.10927777777777781,-0.5834999999999997,0.2513427389016621,-0.6094124999999999,0.417227777777778,-1.0939999999999994,0.16249999999999926,65.01225,58.815,3.1218367630608768,59.33618263888889,70.94820138888888,55.5205,67.567,15
15,17.791666666666668,17.0,1.0197212115114351,15.735763888888888,19.916666666666668,15.5,19.0,16.26166666666667,16.096,0.7900187239091135,14.605328472222222,17.74977916666667,14.8445,17.5975,1.5299999999999998,0.6574999999999998,0.4027108301230707,0.8513222222222222,2.3640694444444437,0.16200000000000042,1.6534999999999993,66.04827777777778,64.976,3.1691265635144945,59.55230069444445,72.1147236111111,56.424,71.535,15
16,16.930555555555557,17.5,0.9279933928716324,15.027083333333335,18.76423611111111,15.5,19.5,14.565305555555552,14.094,0.7402020110576041,13.131786805555558,15.873032638888889,13.342500000000001,15.846,2.36525,2.1565000000000003,0.45066848297570034,1.5592812500000002,3.2669486111111117,0.4240000000000004,2.9059999999999997,71.60175,68.709,3.1964749645520354,65.45362500000002,77.07623124999999,64.108,75.701,15
17,16.5,16.75,0.9938301729663941,14.444097222222222,18.41701388888889,14.75,19.5,13.814333333333332,13.342500000000001,0.7401136442122969,12.32635833333333,15.302120138888888,12.091,15.596,2.685666666666666,2.4044999999999996,0.5854979836761942,1.602527083333334,3.823904861111111,0.4193374999999999,3.4060000000000006,73.45013888888889,70.1265,3.0564750610229425,67.99351041666667,78.88609374999999,64.107,79.514,15
18,14.805555555555555,15.0,0.8774688023617511,13.194097222222222,16.36145833333333,13.5,17.0,12.20083333333333,11.59,0.7381590931671823,10.754298611111112,13.578636111111113,10.8385,14.094,2.6047222222222226,1.6625000000000005,0.532715094960326,1.589316666666667,3.5785513888888882,0.4199999999999999,3.405,78.06586111111112,77.6175,3.07141144953033,71.5667125,83.8115263888889,68.708,85.618,15
19,12.305555555555555,12.25,0.7609720646943289,10.819097222222222,13.847222222222221,11.0,14.0,11.157388888888887,10.8385,0.7512953874283242,9.807694444444445,12.603806944444445,9.3355,12.591,1.1481666666666668,0.9090000000000007,0.2492525986554763,0.6754597222222225,1.6224583333333327,0.4060000000000006,0.92,81.97972222222222,81.66050000000001,2.8231043584023485,76.10102013888888,87.26275763888887,72.095,93.021,15
20,10.652777777777779,10.75,0.7463720306341033,9.194097222222222,12.000347222222222,9.25,12.0,9.932916666666666,9.586,0.7365352989687487,8.596958333333335,11.42216527777778,8.3335,11.089,0.7198611111111114,0.6635000000000004,0.16332836801382658,0.4155756944444446,1.0269972222222221,-0.0759999999999996,0.9135,85.50794444444446,86.136,2.599164375468675,80.59397291666664,90.51490833333332,80.5843,95.752,15
21,9.51388888888889,9.5,0.7214090354803321,8.13888888888889,11.014583333333333,7.75,10.75,9.125805555555555,8.584,0.7334338955069387,7.845670138888887,10.600121527777777,7.3315,10.337499999999999,0.3880833333333333,0.41250000000000053,0.12598410314810252,0.1524319444444444,0.6380319444444443,-0.07902499999999968,0.42353749999999973,88.43897222222222,89.7415,2.3210198027119735,83.7294777777778,92.65882361111112,86.65897500000001,96.9605,15
22,8.88888888888889,8.5,0.7368183185615714,7.527430555555556,10.403125000000001,7.0,10.0,8.680472222222223,7.8325,0.745183449754138,7.344738194444445,10.169957638888889,6.824237500000006,10.087,0.20841666666666667,-0.06950000000000006,0.09004729246874876,0.01635416666666662,0.38842361111111123,-0.0850000000000008,0.4180000000000001,89.39333333333335,93.5245,2.470285697120239,84.64940069444444,94.01569513888889,86.139,100.351,15
23,8.375,7.75,0.7422549833564341,6.985763888888889,9.806249999999999,6.5,9.0,8.374222222222222,7.582000000000001,0.7549008755607577,6.938814583333335,9.919781249999996,6.58,9.3355,0.0007777777777777723,-0.08050000000000021,0.07859085442078527,-0.15136875,0.15592222222222193,-0.08702499999999969,0.4100000000000001,89.76530555555557,95.50450000000001,2.451101292104806,85.00963958333334,94.35023611111112,84.045,100.829,15
0,7.944444444444445,7.0,0.7394168062763248,6.638888888888889,9.417013888888889,6.0,8.75,7.2818055555555565,6.322,0.7993539006244746,5.903219444444445,8.799836805555557,5.068,8.078,0.6626388888888889,0.6779999999999999,0.12794361452011846,0.41167500000000007,0.9033298611111111,0.42547499999999994,0.9325000000000001,92.87838888888888,98.947,2.409883518978478,88.19936666666666,97.01782916666666,87.9065,104.132,16
1,7.652777777777778,6.75,0.727252779257853,6.430208333333334,9.139583333333333,5.5,8.25,7.058916666666667,6.071,0.776620755208509,5.65227638888889,8.702426388888888,5.3185,8.078,0.5938611111111113,0.431,0.11892357925500675,0.36990208333333313,0.8172993055555556,0.4220000000000006,0.931,93.52466666666666,99.99350000000001,2.4004756516091255,89.1805041666667,97.9917673611111,89.0175,104.132,16
2,7.333333333333333,6.5,0.7418873400974203,5.944097222222223,8.917013888888889,5.0,8.0,6.975166666666666,6.071,0.7960284727100403,5.540552777777777,8.577490277777777,4.566,8.078,0.35816666666666663,0.431,0.1012786310685088,0.15690347222222215,0.5406590277777776,-0.05,0.43800000000000017,93.20197222222221,101.814,2.5124186198574723,88.62331041666665,97.75848125,91.46577500000001,104.132,16
3,7.208333333333333,6.25,0.7425222459389925,5.887847222222224,8.750347222222222,5.0,8.0,6.849749999999999,5.82,0.7981697857877386,5.428169444444445,8.604007638888888,4.566,7.577,0.3585833333333334,0.42100000000000026,0.09927218775621281,0.17164236111111114,0.539627777777778,-0.0629999999999997,0.9249999999999998,94.66191666666664,99.9915,2.387821109254541,90.02122986111111,99.02045208333332,95.23235000000001,104.1315,16
4,6.986111111111111,5.75,0.745751488223087,5.638888888888889,8.430902777777778,5.0,7.5,6.571027777777777,5.569,0.7937861797639861,5.108745138888889,8.298238888888887,4.566,7.577,0.41508333333333336,0.4225000000000003,0.11286182291381162,0.20823888888888897,0.6409486111111112,-0.0659999999999998,0.6764999999999998,95.64800000000001,102.589,2.313334782488911,91.2165048611111,99.97907569444445,96.307,105.4085,16
