day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
15,7.520833333333333,6.75,0.569037426708621,6.3328125,8.583333333333334,6.0,9.5,6.416666666666667,5.75,0.649460943327782,5.208333333333333,7.708854166666666,4.5,8.006249999999994,1.1041666666666667,0.0,0.4963445787164962,0.27031250000000046,2.1046874999999994,0.0,0.5,,,,,,,,11
16,6.208333333333333,4.25,0.8506799638913471,4.666666666666667,7.833333333333333,3.0,7.5,5.125,3.5,0.7774272415744312,3.5833333333333335,6.646874999999999,2.0,6.0,1.0833333333333333,0.5,0.45311588988010093,0.25,1.9375,0.5,1.5062499999999943,,,,,,,,11
17,9.395833333333334,7.5,0.8389192315432638,7.916145833333334,11.083333333333334,6.0,12.0,8.770833333333334,5.75,1.1468210499164206,6.770833333333333,11.208854166666667,5.0,9.5,0.625,1.0,0.9277573473986472,-1.459374999999999,2.2088541666666663,0.5,2.5,,,,,,,,11
18,10.979166666666666,8.75,0.9680021852642319,9.25,12.979687499999999,7.5,11.5,10.6875,7.5,1.1443831402721427,8.770833333333334,12.916666666666666,6.75,13.256249999999994,0.2916666666666667,1.0,0.605617323889574,-0.9375,1.3338541666666661,0.0,1.5,,,,,,,,11
19,7.3125,6.25,0.6354649245157872,6.2078125,8.542187499999999,5.25,7.75,6.229166666666667,4.75,0.8058769453000773,4.749479166666667,7.854166666666667,3.5,7.0,1.0833333333333333,1.5,0.41339293632906127,0.24895833333333428,1.7921874999999996,1.0,2.0,,,,,,,,11
20,6.541666666666667,6.0,0.2916666666666667,5.999479166666667,7.125520833333333,5.5,7.5,5.145833333333333,4.5,0.23405523678126558,4.686979166666667,5.604166666666667,4.5,5.756249999999994,1.3958333333333333,1.5,0.150419602323916,1.125,1.6880208333333329,1.0,1.5,,,,,,,,11
21,10.8125,9.25,0.7327808978152328,9.541666666666666,12.271354166666667,8.0,12.006249999999994,10.75,7.5,1.1656310103003924,8.749479166666667,12.9375,7.0,11.0,0.0625,0.75,0.8909328383575096,-1.8130208333333329,1.625,0.25,1.5,,,,,,,,11
22,10.729166666666666,9.25,0.7241806756370842,9.395312500000001,12.166666666666666,8.0,11.5,10.604166666666666,8.5,0.907386739182607,8.874479166666667,12.416666666666666,7.0,13.5,0.125,0.75,0.3116837164986884,-0.5208333333333334,0.7291666666666666,0.0,1.0,,,,,,,,11
23,6.479166666666667,5.5,0.6799930510798683,5.3125,7.791666666666667,4.5,7.5,6.395833333333333,4.0,0.846978413877756,4.728645833333334,8.0625,4.0,9.5,0.08333333333333333,0.5,0.3319718572554936,-0.5421874999999995,0.6875,-0.25,0.5,,,,,,,,11
24,4.208333333333333,3.0,0.6461400627389766,3.1666666666666665,5.4807291666666655,2.5,4.0,3.1666666666666665,3.0,0.438899590158781,2.374479166666667,4.083333333333333,1.5,3.75,1.0416666666666667,0.75,0.33502739811532234,0.4583333333333333,1.7708333333333333,0.0,1.0,,,,,,,,11
