rock,hour,temp_in_mean,temp_in_median,temp_in_sem,temp_in_mean_ci_low,temp_in_mean_ci_up,temp_in_median_ci_low,temp_in_median_ci_up,temp_out_mean,temp_out_median,temp_out_sem,temp_out_mean_ci_low,temp_out_mean_ci_up,temp_out_median_ci_low,temp_out_median_ci_up,temp_diff_mean,temp_diff_median,temp_diff_sem,temp_diff_mean_ci_low,temp_diff_mean_ci_up,temp_diff_median_ci_low,temp_diff_median_ci_up,hum_mean,hum_median,hum_sem,hum_mean_ci_low,hum_mean_ci_up,hum_median_ci_low,hum_median_ci_up
2,22,13.235028571428572,13.593,0.3294677334291606,12.605072857142856,13.864898571428572,12.591,14.094,12.585714285714285,12.5,0.34755189098431144,11.9,13.271428571428572,11.5,13.5,0.6493142857142857,0.592,0.07024162106708566,0.5209707142857143,0.7917728571428572,0.589,0.597,92.83208571428571,93.275,0.9885706644481429,91.15781499999999,94.54283785714287,90.254,94.271
2,23,13.0204,13.092,0.3502878940807058,12.319342857142857,13.67898142857143,12.091,14.094,12.371428571428572,12.5,0.37480687303840987,11.656785714285714,13.100357142857142,11.5,13.5,0.6489714285714288,0.594,0.07016632683394898,0.5066528571428572,0.7767785714285714,0.591,0.597,92.97437142857143,92.776,0.9887422815393913,91.0732,94.921215,89.234,95.26
3,0,12.562342857142859,12.09,0.39735935505134234,11.802985714285715,13.307058571428573,11.589,14.095,11.814285714285715,11.5,0.4348696869843461,11.0,12.671785714285713,10.5,13.0,0.7480571428571428,0.595,0.08605647884395694,0.5908571428571429,0.918247142857143,0.59,0.6119999999999891,98.61402857142859,99.471,0.6471046315532529,97.40909357142858,99.81768071428571,95.775,100.516
3,1,12.333257142857144,11.589,0.4116876321418746,11.531282142857142,13.063572142857145,11.088,13.594,11.628571428571428,11.5,0.43931901902853243,10.857142857142858,12.514285714285714,10.5,13.0,0.7046857142857142,0.598,0.07379806391562775,0.5618842857142857,0.8470021428571429,0.594,1.082,98.83897142857144,99.994,0.6502688215746816,97.60999,100.02950714285716,96.307,100.516
3,2,12.233,12.09,0.41841601066784395,11.431142142857144,13.035492857142858,11.088,13.093,11.514285714285714,11.5,0.44837976957831943,10.656785714285714,12.400357142857143,10.0,12.5,0.7187142857142857,0.595,0.06864527711086796,0.5900142857142856,0.8475207142857143,0.593,1.082,98.66157142857143,99.471,0.6225005150491801,97.41032214285714,99.88261428571428,96.307,99.994
3,3,12.032457142857144,12.09,0.4235489660318517,11.216169285714287,12.877614999999999,11.088,13.093,11.271428571428572,11.5,0.4782420790713399,10.285000000000002,12.12892857142857,10.0,12.5,0.7610285714285714,0.598,0.08860567432286087,0.5895942857142856,0.9298721428571429,0.592,1.08,98.90068571428573,99.471,0.6308815597820161,97.74265214285715,100.14038571428573,96.837,99.994
3,4,11.903485714285713,12.09,0.4398625040543797,11.043483571428572,12.762972142857143,10.586,12.60452499999999,11.242857142857142,11.5,0.4707277704295142,10.328214285714287,12.086071428571428,10.0,12.5,0.6606285714285715,0.594,0.0739066420607531,0.5197564285714286,0.8016378571428573,0.586,0.599,98.95968571428573,99.471,0.6426259988560705,97.71766785714289,100.149495,96.307,100.516
3,5,11.908666666666665,12.09,0.44620530188308094,11.045299305555554,12.730138888888888,10.586,13.093,11.180555555555555,11.75,0.47649213328912343,10.194097222222222,12.097569444444444,9.5,12.75,0.7281111111111112,0.5954999999999999,0.07570311454641888,0.5775409722222222,0.8807673611111109,0.5919875,1.077,98.10655555555557,99.209,1.0409545820905486,95.98086736111111,99.83580555555557,96.572,100.516
3,6,11.75547222222222,12.09,0.44751175472033666,10.877706944444444,12.661066666666667,10.586,13.093,11.222222222222221,11.75,0.46224282615860796,10.305555555555555,12.139236111111112,10.0,12.5,0.53325,0.5885,0.0587495947301118,0.42155000000000004,0.645226388888889,0.581475,0.593,98.24136111111112,99.209,1.0199722554215906,96.06215416666666,99.9107888888889,96.837,100.516
3,7,11.769416666666665,12.09,0.44444718895481977,10.989710416666668,12.71641875,10.586,12.842500000000001,11.13888888888889,11.5,0.4832968422641559,10.13888888888889,12.01388888888889,9.987500000000011,12.5,0.6305277777777777,0.589,0.08007776464570272,0.4645548611111111,0.7844638888888886,0.58,1.0775000000000001,98.18583333333335,99.209,1.0019810745765232,96.07793819444444,99.83882847222223,96.307,100.255
3,8,11.66,12.09,0.46194550953712343,10.686135,12.534322857142856,10.085,12.592,11.32857142857143,12.0,0.5016539271899165,10.385000000000002,12.243214285714284,10.0,12.5,0.33142857142857146,0.1,0.06841468078869452,0.20575857142857146,0.4595471428571429,0.092,0.585,98.3448,99.471,1.0289104638018844,96.14159714285714,99.99649285714284,96.837,100.516
3,9,11.874771428571428,12.592,0.47640696550608186,10.943793571428573,12.791629285714288,10.586,13.093,11.885714285714286,12.5,0.46925907730448124,10.956785714285715,12.786071428571429,11.0,13.0,-0.010942857142857152,0.086,0.07629754825908981,-0.14248999999999976,0.13171571428571432,0.073,0.093,98.30220000000001,99.471,1.0134098474909334,95.96339928571429,99.91519142857143,96.837,101.036
